avg_pts_for,avg_pts_let,avg_rsh,avg_pss,pss_rate,3rd_dn_rate,4th_dn_rate,pss_td,rsh_td,1st_dns,sacks,trnovrs,pens,pen_yrds,home_win
19.333333333333332,-4.5,1.6857652151769802,5.761598490695481,0.19532344281508163,0.2815189873417722,0.8333333333333334,11.0,6.0,34.0,7.0,-1.0,-4.0,-21.0,1.0
-1.8333333333333357,-9.500000000000002,-0.5723945185719437,-0.39267899061032896,0.03036971830985913,0.013194722111155577,0.2857142857142857,-2.0,3.0,36.0,7.0,1.0,9.0,-26.0,1.0
-2.9999999999999982,2.666666666666668,0.07517482517482543,-1.930736088798013,-0.041551044252957525,0.04723899913718721,-0.2857142857142857,0.0,-1.0,0.0,11.0,4.0,8.0,127.0,1.0
2.0000000000000018,3.4999999999999982,-0.33640199462984244,0.6472704647513927,0.10617865065195042,-0.07276476653409925,-0.5833333333333333,3.0,-1.0,18.0,2.0,2.0,3.0,-38.0,0.0
-6.833333333333334,4.333333333333332,0.7947649572649569,-1.9592388826408094,-0.041703395239976904,-0.2022084195997239,-0.09999999999999998,-7.0,1.0,-11.0,-2.0,2.0,-2.0,-59.0,0.0
14.666666666666666,1.0,0.7997189585854252,0.6105230546806428,-0.0053699592089637704,0.05722389055722388,0.09523809523809523,5.0,0.0,67.0,3.0,10.0,0.0,42.0,1.0
-5.833333333333332,7.0,-1.7998163452708908,0.3397939220033912,0.0019303508543107029,-0.05921052631578949,0.375,-1.0,-2.0,-16.0,-17.0,-7.0,-30.0,-277.0,0.0
-8.833333333333332,-13.666666666666664,-1.0217209690893898,-0.7337756714060033,-0.03448130595050025,-0.0992822966507177,0.4166666666666667,-7.0,-5.0,-23.0,12.0,-3.0,-19.0,-179.0,1.0
-6.666666666666666,11.166666666666666,0.15291095890410933,-2.651960784313725,-0.05889780154486035,-0.1752136752136752,-0.5,-2.0,-3.0,-13.0,0.0,0.0,8.0,70.0,0.0
-1.5,-8.333333333333332,0.7021244135931957,0.9260991820040898,0.0031952965235174657,0.06388888888888888,-0.08333333333333331,-1.0,1.0,-26.0,0.0,-5.0,-4.0,31.0,1.0
5.0,-3.2857142857142847,0.2770581462291304,0.6849017816354506,-0.02806646870717222,0.14713855421686745,-0.25,-1.0,6.0,19.0,15.0,-3.0,-15.0,-56.0,0.0
-25.714285714285715,-0.571428571428573,0.1549732690911494,-3.086748607643557,-0.17326675628961014,-0.13863636363636367,0.0,-12.0,-4.0,-87.0,-15.0,-13.0,0.0,-18.0,1.0
7.428571428571431,-1.5714285714285694,0.8694784642906286,2.056180997443846,0.05851960624354158,0.15094339622641512,0.23809523809523808,2.0,3.0,19.0,2.0,-7.0,0.0,90.0,1.0
1.7142857142857153,0.7142857142857153,0.38671775223499383,-0.05001502704868699,-0.02629733520336608,0.012181195279786838,0.22499999999999998,0.0,1.0,-2.0,2.0,2.0,12.0,213.0,1.0
-18.28571428571429,-8.714285714285715,-2.163721881390593,-3.9209399033041903,-0.1278839650291841,-0.1518132716049383,-0.5,-4.0,-7.0,-40.0,-2.0,1.0,11.0,-2.0,1.0
-12.571428571428571,-17.714285714285715,-0.9660455053042991,-0.13765075504205893,-0.007945677510894922,-0.13857677902621723,0.16666666666666669,-13.0,-3.0,-53.0,0.0,-2.0,-18.0,-200.0,1.0
5.714285714285715,-1.7142857142857135,1.348750228060573,1.1268182373792932,0.04547121378804553,0.1175889328063241,-0.33333333333333337,3.0,5.0,3.0,0.0,-4.0,-2.0,-63.0,1.0
-0.4285714285714306,-2.2857142857142865,0.5065494614337007,-2.4461013295005385,-0.059108875314409004,-0.12472551602986387,0.08333333333333331,-1.0,-3.0,13.0,-4.0,13.0,2.0,-65.0,0.0
9.571428571428571,-12.571428571428571,0.5318170201891128,-0.3876623376623378,0.01158008658008658,0.1857076780758557,0.2,2.0,4.0,28.0,7.0,8.0,9.0,117.0,1.0
2.8571428571428594,17.0,-1.0426374650512584,0.1836878962599684,-0.05575805774626108,-0.14805097451274363,-0.0892857142857143,-2.0,-1.0,-3.0,-13.0,1.0,-7.0,-130.0,0.0
0.5714285714285712,-13.857142857142858,0.7589471419350211,-0.7111602753195676,-0.12831858407079644,0.01498708010335914,0.16666666666666669,-5.0,4.0,18.0,-3.0,6.0,-13.0,-157.0,1.0
6.142857142857142,-6.285714285714285,-0.2608695652173916,0.5249150781842173,0.002021279582268831,0.03159985554351746,0.6,0.0,6.0,2.0,-3.0,7.0,5.0,68.0,1.0
1.7142857142857153,8.0,-0.7320872274143304,-0.4361463064786042,-0.0490875766993385,-0.00783108643933389,-0.5142857142857143,3.0,-4.0,-1.0,-9.0,0.0,-6.0,-75.0,0.0
1.8571428571428577,7.428571428571428,-0.0893233082706768,-0.8749653259361994,-0.03772538141470183,0.04865967365967366,0.0,0.0,2.0,19.0,-5.0,0.0,-3.0,13.0,1.0
-3.125,1.625,0.09752726541689682,1.6489025798998842,0.05629572583750486,-0.01808398023994351,0.16666666666666663,-2.0,-2.0,-1.0,-7.0,-7.0,13.0,143.0,1.0
-2.5,-1.5,-1.282817669677189,-2.3439291947145353,-0.0897033158813264,-0.05888174171202376,-0.6666666666666666,-8.0,2.0,-12.0,20.0,6.0,-8.0,-68.0,1.0
0.625,15.25,-0.4745562130177512,-0.5863927193396608,-0.07090177946371878,-0.13010053222945006,-0.2142857142857143,-2.0,0.0,-3.0,3.0,3.0,3.0,-4.0,1.0
0.125,-6.0,0.3292682926829267,-0.4231746031746031,-0.06999999999999995,-0.009921355111917718,0.25,-1.0,1.0,-26.0,4.0,12.0,10.0,68.0,1.0
1.625,1.375,0.2159517024148796,-0.27735433604336013,0.060806233062330683,0.03188405797101451,-0.35,6.0,-7.0,27.0,-1.0,8.0,16.0,88.0,0.0
3.375,4.125,-2.4450757575757573,1.9356879573086871,0.18121802277603571,0.011289364230540722,-0.16666666666666669,5.0,-1.0,-2.0,8.0,-3.0,6.0,86.0,0.0
7.375,2.375,0.9246001744693224,2.7914099630346776,0.1039957753916565,0.20501109226151643,0.41666666666666663,8.0,1.0,46.0,6.0,-14.0,-9.0,38.0,1.0
-1.25,11.625,-0.19423784545525713,0.018853530950305064,-0.005884917175239757,-0.10194003527336865,-0.025641025641025605,1.0,-3.0,-21.0,-25.0,-6.0,-16.0,-210.0,0.0
-10.25,3.75,-0.17590132827324467,-3.0595621810367977,-0.06005909213000271,-0.05156831472620943,-0.5,0.0,-5.0,-3.0,-11.0,-1.0,22.0,149.0,0.0
-7.625,-0.625,-0.576739050423261,0.13749476330121535,-0.006501885211562586,-0.05359729599227431,0.33333333333333337,-3.0,-1.0,-16.0,-9.0,-3.0,-14.0,-164.0,1.0
4.0,-2.0,0.8962886331307383,-0.036997284155404486,-0.03768031093981239,-0.02224262830323437,0.3392857142857143,2.0,3.0,-30.0,-3.0,-4.0,-7.0,61.0,0.0
-8.375,6.625,1.2094876126126128,-1.4379427462396892,0.020397865114022307,-0.060892940626460945,0.08333333333333331,-10.0,-2.0,1.0,-10.0,-10.0,-8.0,-38.0,0.0
-9.375,9.5,-1.61217497117971,-1.0842900880214312,-0.09225028702640647,-0.007603092783505183,-0.8571428571428572,-4.0,-6.0,-27.0,8.0,-8.0,-2.0,18.0,0.0
0.5,2.25,0.29316585054289934,-0.13566249176005218,0.06023166023166027,-0.055515239477503586,0.6000000000000001,-2.0,5.0,33.0,5.0,4.0,7.0,34.0,0.0
